date,avetemp,rh
01/01/2018,25.5,67
02/01/2018,26,62
03/01/2018,25.7,83
04/01/2018,26,98
05/01/2018,26.15,73
06/01/2018,26.2,70
07/01/2018,26.75,64
08/01/2018,26.8,69
09/01/2018,27.25,72
10/01/2018,27,75
11/01/2018,25.55,79
12/01/2018,25.75,69
13/01/2018,26.4,68
14/01/2018,25.05,71
15/01/2018,24.2,67
16/01/2018,24.95,62
17/01/2018,24.7,62
18/01/2018,26,76
19/01/2018,25.95,77
20/01/2018,26.05,72
21/01/2018,26.75,78
22/01/2018,26.6,77
23/01/2018,26.6,72
24/01/2018,28,70
25/01/2018,27.25,74
26/01/2018,27.75,83
27/01/2018,27.4,88
28/01/2018,27.55,82
29/01/2018,28.2,86
30/01/2018,26.35,70
31/01/2018,26.35,70
01/02/2018,25.95,70
02/02/2018,26.25,67
03/02/2018,26.5,74
04/02/2018,27.1,78
05/02/2018,26.5,78
06/02/2018,26.25,78
07/02/2018,26.6,74
08/02/2018,27,76
09/02/2018,26.9,73
10/02/2018,26.5,72
11/02/2018,26,72
12/02/2018,26.6,74
13/02/2018,26.7,85
14/02/2018,27.3,85
15/02/2018,27.6,75
16/02/2018,27.2,73
17/02/2018,26.75,72
18/02/2018,27,75
19/02/2018,27.25,78
20/02/2018,27.1,82
21/02/2018,27.3,81
22/02/2018,25.85,83
23/02/2018,26.1,77
24/02/2018,27.25,73
25/02/2018,26.45,74
26/02/2018,26.25,73
27/02/2018,27.25,71
28/02/2018,26.3,69
01/03/2018,25.9,79
02/03/2018,27.55,70
03/03/2018,27.2,68
04/03/2018,27.6,75
05/03/2018,27.9,72
06/03/2018,27,73
07/03/2018,27.5,74
08/03/2018,27.45,85
09/03/2018,26.05,71
10/03/2018,27.3,71
11/03/2018,27.4,76
12/03/2018,28.8,71
13/03/2018,28.15,72
14/03/2018,28,82
15/03/2018,29,79
16/03/2018,29.25,85
17/03/2018,28.7,87
18/03/2018,28.95,89
19/03/2018,29.35,87
20/03/2018,28.95,77
21/03/2018,28.25,73
22/03/2018,29.75,73
23/03/2018,30,72
24/03/2018,29,78
25/03/2018,28.7,84
26/03/2018,29.25,80
27/03/2018,28.35,72
28/03/2018,29.25,64
29/03/2018,28.8,65
30/03/2018,29,66
31/03/2018,28.75,68
01/04/2018,28.55,76
02/04/2018,27.55,78
03/04/2018,27.85,81
04/04/2018,28,72
05/04/2018,28.3,72
06/04/2018,28.55,74
07/04/2018,29,70
08/04/2018,29.25,76
09/04/2018,28.25,75
10/04/2018,27.4,85
11/04/2018,28.35,78
12/04/2018,29.1,77
13/04/2018,29.35,75
14/04/2018,29.6,74
15/04/2018,29.25,72
16/04/2018,27.5,80
17/04/2018,27.9,78
18/04/2018,28.25,78
19/04/2018,29.15,64
20/04/2018,28.55,68
21/04/2018,30.55,67
22/04/2018,29.4,70
23/04/2018,29.5,67
24/04/2018,31,63
25/04/2018,30,79
26/04/2018,30.3,76
27/04/2018,29.4,75
28/04/2018,29.85,68
29/04/2018,29.75,70
30/04/2018,30.45,66
01/05/2018,30.25,64
02/05/2018,30.45,67
03/05/2018,30.35,76
04/05/2018,30.05,80
05/05/2018,30.5,66
06/05/2018,31.2,58
07/05/2018,31.25,72
08/05/2018,30.7,60
09/05/2018,30.5,57
10/05/2018,31,59
11/05/2018,31.15,72
12/05/2018,30.9,83
13/05/2018,31.3,71
14/05/2018,31.45,72
15/05/2018,29.95,80
16/05/2018,29.85,80
17/05/2018,29.25,88
18/05/2018,28.75,86
19/05/2018,28.55,86
20/05/2018,28.4,91
21/05/2018,28.1,84
22/05/2018,29.35,79
23/05/2018,29,80
24/05/2018,30.25,72
25/05/2018,30.15,77
26/05/2018,30,76
27/05/2018,30.35,80
28/05/2018,29,93
29/05/2018,29.65,76
30/05/2018,30.15,73
31/05/2018,29.1,75
01/06/2018,28,79
02/06/2018,30,74
03/06/2018,30.35,72
04/06/2018,30.3,82
05/06/2018,29.65,86
06/06/2018,30.1,74
07/06/2018,28.35,69
08/06/2018,29.15,86
09/06/2018,29.6,79
10/06/2018,30.2,71
11/06/2018,30.15,71
12/06/2018,30,85
13/06/2018,29.15,80
14/06/2018,29.5,80
15/06/2018,29.65,79
16/06/2018,30,75
17/06/2018,31,70
18/06/2018,29.85,73
19/06/2018,28.65,83
20/06/2018,29.35,81
21/06/2018,28.65,77
22/06/2018,29,71
23/06/2018,28.25,79
24/06/2018,28.25,78
25/06/2018,30.15,74
26/06/2018,28.2,87
27/06/2018,29.2,84
28/06/2018,28.2,83
29/06/2018,28.3,81
30/06/2018,28.9,82
01/07/2018,27.65,88
02/07/2018,28.5,82
03/07/2018,27.5,80
